Step	Training Loss
1716	2.032900
1717	2.027700
1718	1.669700
1719	1.847400
1720	1.598800
1721	1.570100
1722	1.898200
1723	1.014500
1724	1.914000
1725	1.987500
1726	1.487100
1727	1.818200
1728	1.727400
1729	1.869100
1730	1.932900
1731	1.650400
1732	1.756000
1733	1.652000
1734	1.733600
1735	1.840600
1736	1.981900
1737	1.603100
1738	1.881600
1739	1.867500
1740	1.487200
1741	1.870300
1742	1.881500
1743	1.792400
1744	1.636100
1745	1.559700
1746	1.682500
1747	1.664200
1748	1.914800
1749	2.111000
1750	1.944300
1751	1.999800
1752	1.881400
1753	1.607600
1754	1.685500
1755	1.633000
1756	1.729400
1757	1.371300
1758	1.658900
1759	1.909600
1760	1.641400
1761	1.633100
1762	1.800500
1763	1.642900
1764	1.790800
1765	1.733900
1766	2.100100
1767	1.841600
1768	2.001500
1769	1.506200
1770	1.682300
1771	1.580400
1772	1.824900
1773	1.770400
1774	1.770900
1775	1.482700
1776	2.055200
1777	2.092400
1778	2.050700
1779	1.625200
1780	1.976900
1781	1.921900
1782	1.965300
1783	2.024800
1784	1.553100
1785	1.650700
1786	1.891900
1787	1.943300
1788	1.805600
1789	1.832800
1790	2.011300
1791	1.973800
1792	2.014800
1793	1.886000
1794	2.131700
1795	2.015500
1796	1.549900
1797	1.605600
1798	1.676200
1799	1.405500
1800	2.020800
1801	1.916000
1802	1.822300
1803	1.970400
1804	1.764500
1805	1.385300
1806	1.514200
1807	1.986200
1808	1.986400
1809	1.486600
1810	1.717800
1811	1.682400
1812	2.009300
1813	1.537800
1814	1.828200
1815	1.614600
1816	1.712200
1817	1.552800
1818	1.573900
1819	1.813500
1820	1.752600
1821	1.625200
1822	1.893200
1823	1.475300
1824	1.354900
1825	1.660200
1826	1.949500
1827	1.678200
1828	1.816300
1829	1.960800
1830	1.721400
1831	1.488400
1832	1.601100
1833	1.871300
1834	1.716700
1835	1.677300
1836	1.318900
1837	1.782200
1838	1.812400
1839	1.819200
1840	1.519500
1841	1.677600
1842	1.653600
1843	1.918200
1844	1.813800
1845	1.915100
1846	1.706900
1847	1.711200
1848	1.373400
1849	1.894300
1850	1.562800
1851	1.639400
1852	1.719200
1853	1.848500
1854	1.366300
1855	1.383700
1856	1.941700
1857	1.792800
1858	2.012600
1859	1.691700
1860	1.806700
1861	1.663900
1862	1.975800
1863	1.883100
1864	1.723500
1865	1.691200
1866	1.702700
1867	1.890500
1868	1.606000
1869	2.048100
